,component,cui,name
1088,vascular disease,S-210862002,Injury of blood vessel(s) of thumb (disorder)
1089,vascular disease,S-254780006,Arteriovenous malformation of skin (disorder)
1090,vascular disease,S-442701004,Atherosclerosis of nonautologous biological bypass graft of limb (disorder)
1091,vascular disease,S-448117008,Aneurysm of aortic sinus of Valsalva with protrusion into pericardial cavity (disorder)
1092,vascular disease,S-762649003,Stenosis of left cerebellar artery (disorder)
1093,vascular disease,S-314188009,Femoral artery occlusion (disorder)
1094,vascular disease,S-230482003,Carotidynia (disorder)
1095,vascular disease,S-195450002,Infected varicose ulcer (disorder)
1096,vascular disease,S-195445008,Varicose veins of the leg with ulcer (disorder)
1097,vascular disease,S-461409008,Acquired abnormality of right femoral vein (disorder)
1098,vascular disease,S-16418006,Embolism of basilar sinus (disorder)
1099,vascular disease,S-427774005,Fibromuscular hyperplasia of carotid artery (disorder)
1100,vascular disease,S-460964000,Anomalous origin of ligamentum arteriosum from left subclavian artery (disorder)
1101,vascular disease,S-37325002,Injury of saphenous vein (disorder)
1102,vascular disease,S-720626009,Dissection of carotid artery (disorder)
1103,vascular disease,S-257812009,Chronic peri-aortitis (disorder)
1104,vascular disease,S-65366005,Small vessel thrombosis of skin (disorder)
1105,vascular disease,S-230740003,Anterior spinal artery thrombosis (disorder)
1106,vascular disease,S-724446001,External iliac artery endofibrosis (disorder)
1107,vascular disease,S-15648861000119100,Aneurysm of right subclavian artery (disorder)
1108,vascular disease,S-724874000,Occupational cutaneous vascular disorder (disorder)
1109,vascular disease,S-210887009,"Closed injury, anterior tibial artery (disorder)"
1110,vascular disease,S-734963004,Embolus of right posterior cerebral artery (disorder)
1111,vascular disease,S-238816001,Toxic urticated erythema (disorder)
1112,vascular disease,S-16289261000119103,Dissection of left subclavian artery (disorder)
1113,vascular disease,S-87224000,Transient arterial retinal occlusion (disorder)
1114,vascular disease,S-204501003,Congenital stricture of cerebral artery (disorder)
1115,vascular disease,S-65593009,Partial occlusion of retinal vein (disorder)
1116,vascular disease,S-59568004,Injury of thoracic aorta (disorder)
1117,vascular disease,S-651000119108,Acute deep vein thrombosis of lower limb (disorder)
1118,vascular disease,S-262940009,Transection of vertebral artery (disorder)
1119,vascular disease,S-72242008,Postductal coarctation of aorta (disorder)
1120,vascular disease,S-447930006,Double aortic arch with right arch dominant (disorder)
1121,vascular disease,S-307362003,Intracranial venous septic embolism (disorder)
1122,vascular disease,S-67843002,Injury of axillary artery (disorder)
1123,vascular disease,S-461399000,Anomalous origin of ligamentum arteriosum from right aortic arch (disorder)
1124,vascular disease,S-402832006,Telangiectasia due to venous hypertension (disorder)
1125,vascular disease,S-449626004,Injury of blood vessel of upper arm (disorder)
1126,vascular disease,S-473005004,Anomalous origin of ligamentum arteriosum from retroesophageal aortic diverticulum (disorder)
1127,vascular disease,S-473446004,Acquired abnormality of femoral vein (disorder)
1128,vascular disease,S-188001,Injury of intercostal artery (disorder)
1129,vascular disease,S-403606008,Toxic urticated erythema caused by drug (disorder)
1130,vascular disease,S-285709007,Injury of artery of head and neck (disorder)
1131,vascular disease,S-277325005,Ruptured aneurysm of posterior inferior cerebellar artery (disorder)
1132,vascular disease,S-432083006,Occlusive disease of artery of lower extremity (disorder)
1133,vascular disease,S-28578008,Incipient occlusion of retinal vein (disorder)
1134,vascular disease,S-762286005,Subgaleal epicranial subaponeurotic hemorrhage due to birth injury (disorder)
1135,vascular disease,S-315295003,Recurrent abdominal aortic aneurysm (disorder)
1136,vascular disease,S-210912006,"Open injury, dorsalis pedis artery (disorder)"
1137,vascular disease,S-145891000119104,Atherosclerosis of native arteries of the extremities (disorder)
1138,vascular disease,S-762433009,Tetralogy of Fallot with pulmonary atresia co-occurrent with systemic-to-pulmonary collateral artery (disorder)
1139,vascular disease,S-40198004,Thrombophlebitis of deep veins of lower extremity (disorder)
1140,vascular disease,S-15967301000119102,Stenosis of bilateral subclavian arteries (disorder)
1141,vascular disease,S-737158007,Aneurysm of aorta due to and following procedure (disorder)
1142,vascular disease,S-447110008,Laceration of ulnar artery (disorder)
1143,vascular disease,S-42994005,Nonruptured cerebral aneurysm (disorder)
1144,vascular disease,S-233983001,Ruptured cerebral aneurysm (disorder)
1145,vascular disease,S-15966461000119108,Dissection of left renal artery (disorder)
1146,vascular disease,S-312496009,Iliac artery stenosis (disorder)
1147,vascular disease,S-77788005,Vasomotor acroparesthesia (disorder)
1148,vascular disease,S-60787001,Congenital hypoplasia of aortic arch (disorder)
1149,vascular disease,S-238787009,Secondary cutaneous vasculitis (disorder)
1150,vascular disease,S-413758000,Cardioembolic stroke (disorder)
1151,vascular disease,S-199192005,Maternal rubella during pregnancy - baby delivered (disorder)
1152,vascular disease,S-13867009,Preductal coarctation of aorta (disorder)
1153,vascular disease,S-449185003,Dilatation of aortic sinutubular junction (disorder)
1154,vascular disease,S-461572001,Atresia of aortic arch with fibrous cord between subclavian artery and common carotid artery (disorder)
1155,vascular disease,S-444569004,Aneurysm of infrarenal abdominal aorta (disorder)
1156,vascular disease,S-449871005,Congenital anomaly of blood vessel of lower limb (disorder)
1157,vascular disease,S-93388003,Congenital stenosis of subclavian artery (disorder)
1158,vascular disease,S-128191000,Encephalomyelitis co-occurrent and due to rubella (disorder)
1159,vascular disease,S-210867008,"Closed injury, superficial femoral artery (disorder)"
1160,vascular disease,S-16014591000119103,Thrombophlebitis of superficial vein of bilateral lower limbs (disorder)
1161,vascular disease,S-210849001,"Closed injury, digital artery (disorder)"
1162,vascular disease,S-447997006,Vascular ring with retrotracheal right pulmonary artery from ascending aorta (disorder)
1163,vascular disease,S-28790007,Obstruction of precerebral artery (disorder)
1164,vascular disease,S-448843007,Aortico-left ventricular tunnel with aneurysm of intracardiac septal wall and aneurysm of extracardiac aortic wall (disorder)
1165,vascular disease,S-210881005,"Open injury, popliteal vein (disorder)"
1166,vascular disease,S-66877004,Phlegmasia cerulea dolens (disorder)
1167,vascular disease,S-737157002,False aneurysm of aorta due to and following procedure (disorder)
1168,vascular disease,S-16009431000119100,Embolism of artery of left upper limb (disorder)
1169,vascular disease,S-733282009,Injury of femoral artery (disorder)
1170,vascular disease,S-253696009,Distal origin of brachiocephalic trunk (disorder)
1171,vascular disease,S-234073005,Venous hypertension of upper limb (disorder)
1172,vascular disease,S-238811006,Biers spots (disorder)
1173,vascular disease,S-234011001,Thoracic aorta perforation (disorder)
1174,vascular disease,S-126037009,Traumatic rupture of aorta (disorder)
1175,vascular disease,S-200209007,Varicose veins of legs in pregnancy and the puerperium with postnatal complication (disorder)
1176,vascular disease,S-232036006,Cilioretinal artery occlusion (disorder)
1177,vascular disease,S-403616000,Drug-induced lymphocytic vasculitis (disorder)
1178,vascular disease,S-192759008,Cerebral venous sinus thrombosis (disorder)
1179,vascular disease,S-254784002,Blue rubber bleb nevus (disorder)
1180,vascular disease,S-297155002,Superficial femoral artery thrombosis (disorder)
1181,vascular disease,S-14363008,Anterior spinal artery compression syndrome (disorder)
1182,vascular disease,S-210835005,Radial blood vessel injury (disorder)
1183,vascular disease,S-135001000119100,Acute deep venous thrombosis of internal jugular vein (disorder)
1184,vascular disease,S-713825007,Renal artery stenosis of transplanted kidney (disorder)
1185,vascular disease,S-132191000119103,Chronic deep venous thrombosis of femoral vein (disorder)
1186,vascular disease,S-405554005,Abscess of aortic root (disorder)
1187,vascular disease,S-253699002,Isolation of common carotid artery (disorder)
1188,vascular disease,S-428870007,Cystic adventitial disease of popliteal artery (disorder)
1189,vascular disease,S-192755002,Embolism superior longitudinal sinus (disorder)
1190,vascular disease,S-253652009,Right descending aorta (disorder)
1191,vascular disease,S-132151000119108,Chronic deep venous thrombosis of popliteal vein (disorder)
1192,vascular disease,S-262717000,Injury of vertebral artery (disorder)
1193,vascular disease,S-312373008,Femoral false aneurysm (disorder)
1194,vascular disease,S-195236009,Occlusion and stenosis of multiple and bilateral cerebral arteries (disorder)
1195,vascular disease,S-724097003,"Moyamoya angiopathy, short stature, facial dysmorphism, hypergonadotropic hypogonadism syndrome (disorder)"
1196,vascular disease,S-402837000,Spider telangiectasis in association with liver disease (disorder)
1197,vascular disease,S-210871006,Greater saphenous vein injury (disorder)
1198,vascular disease,S-47468000,Injury of gastric artery (disorder)
1199,vascular disease,S-253194008,Aneurysm of the vein of Galen (disorder)
1200,vascular disease,S-764452004,Retinal arterial macroaneurysm with supravalvular pulmonic stenosis (disorder)
1201,vascular disease,S-35095003,Injury of ileocolic artery (disorder)
1202,vascular disease,S-762536003,Lipodermatosclerosis of lower limb due to varicose veins of lower limb (disorder)
1203,vascular disease,S-23819000,Embolism of cavernous venous sinus (disorder)
1204,vascular disease,S-253679008,Abdominal aortic coarctation (disorder)
1205,vascular disease,S-723869004,Acute occlusion of aortoiliac artery co-occurrent and due to thromboembolus (disorder)
1206,vascular disease,S-448723007,Aneurysm of aortic sinus of Valsalva with rupture to left atrium (disorder)
1207,vascular disease,S-306852006,Occlusion of renal artery bypass graft (disorder)
1208,vascular disease,S-448115000,Aneurysm of aortic sinus of Valsalva with protrusion into left atrium (disorder)
1209,vascular disease,S-15648561000119102,Aneurysm of left carotid artery (disorder)
1210,vascular disease,S-423674003,Chronic peripheral venous hypertension (disorder)
1211,vascular disease,S-234036007,Superficial thrombophlebitis of cephalic vein (disorder)
1212,vascular disease,S-12237871000119106,Acute thrombosis of superficial vein of right upper limb (disorder)
1213,vascular disease,S-404668004,Calcific retinal embolus (disorder)
1214,vascular disease,S-15967341000119100,Stenosis of right subclavian artery (disorder)
1215,vascular disease,S-276500007,Mesenteric embolus (disorder)
1216,vascular disease,S-210890003,"Open injury, posterior tibial artery (disorder)"
1217,vascular disease,S-307399003,Infected iliopopliteal graft (disorder)
1218,vascular disease,S-56780006,Segmental hyalinizing vasculitis (disorder)
1219,vascular disease,S-460590006,Vascular ring with right aortic arch and left ligamentum arteriosum with anomalous retroesophageal left subclavian artery (disorder)
1220,vascular disease,S-459163001,Infective endarteritis at site of aortic coarctation (disorder)
1221,vascular disease,S-234026004,Steal syndrome of upper limb (disorder)
1222,vascular disease,S-448078006,Vascular ring with right aortic arch and right arterial ligament with absent left pulmonary artery (disorder)
1223,vascular disease,S-210826003,"Closed injury, axillary artery (disorder)"
1224,vascular disease,S-399866003,Diabetic retinal venous beading (disorder)
1225,vascular disease,S-448328001,Aneurysm of aortic sinus of Valsalva without rupture (disorder)
1226,vascular disease,S-212365000,Injury of multiple blood vessels at shoulder and upper arm level (disorder)
